08-0510,North Carolina,Platinum,234,27.225,261.225,Advances to Regional Round
08-0370,Tennessee,Platinum,233,28.05,261.05,Does not advance
08-0570,Texas,Platinum,233,28.05,261.05,Does not advance
08-0875,Texas,Platinum,228,33,261,Does not advance
08-0756,Arizona ,Platinum,232,28.875,260.875,Advances to Regional Round
08-0065,Colorado,Platinum,232,28.875,260.875,Does not advance
08-1983,Maryland,Platinum,232,28.875,260.875,Does not advance
08-2129,New Jersey,Platinum,236,24.75,260.75,Does not advance
08-0122,Texas,Platinum,231,29.7,260.7,Does not advance
08-0394,New Mexico,Platinum,235,25.575,260.575,Advances to Regional Round
08-0984,Vermont,Platinum,243,17.325,260.325,Advances to Regional Round
08-0678,California,Platinum,232,28.05,260.05,Does not advance
08-0773,California,Platinum,227,33,260,Does not advance
08-2386,Virginia,Platinum,231,28.875,259.875,Does not advance
08-0389,New Mexico,Platinum,239,20.625,259.625,Does not advance
08-0086,Indiana,Platinum,238,21.45,259.45,Does not advance
08-0944,Maryland,Platinum,228,31.35,259.35,Does not advance
08-1650,Colorado,Platinum,237,22.275,259.275,Does not advance
08-0153,California,Platinum,231,28.05,259.05,Does not advance
08-0477,Maryland,Platinum,231,28.05,259.05,Does not advance
08-0878,California,Platinum,234,25.025,259.025,Does not advance
08-1007,California,Platinum,230,28.875,258.875,Does not advance
08-0981,Virginia,Platinum,230,28.875,258.875,Does not advance
08-2250,Pennsylvania,Platinum,234,24.75,258.75,Does not advance
08-2031,New Jersey,Platinum,247,11.55,258.55,Does not advance
08-3301,"Washington, D.C.",Platinum,230,28.05,258.05,Advances to Regional Round
08-1577,Colorado,Platinum,234,23.925,257.925,Does not advance
08-1552,New Mexico,Platinum,232,25.575,257.575,Advances to Regional Round
08-1348,Kansas,Platinum,227,30.525,257.525,Advances to Regional Round
08-2653,Pennsylvania,Platinum,240,17.325,257.325,Does not advance
08-2971,Virginia,Platinum,228,28.875,256.875,Does not advance
08-1857,Delaware,Platinum,232,24.75,256.75,Advances to Regional Round
08-1542,California,Platinum,234,22.55,256.55,Does not advance
08-2093,New Jersey,Platinum,235,21.45,256.45,Does not advance
08-0890,Alabama,Platinum,228,28.05,256.05,Does not advance
08-0732,Washington,Platinum,230,25.85,255.85,Does not advance
08-1343,Maryland,Platinum,231,24.75,255.75,Does not advance
08-2825,California,Platinum,230,25.575,255.575,Does not advance
08-0740,Maryland,Platinum,229,26.4,255.4,Does not advance
08-0846,Texas,Platinum,229,26.4,255.4,Does not advance
08-0179,Texas,Platinum,232,23.1,255.1,Does not advance
08-0553,Texas,Platinum,246,9.075,255.075,Does not advance
08-2332,Virginia,Platinum,231,23.925,254.925,Does not advance
08-0281,California,Platinum,234,19.8,253.8,Does not advance
08-0048,Oklahoma,Platinum,234,19.8,253.8,Does not advance
08-1451,Virginia,Platinum,229,24.75,253.75,Does not advance
08-2927,Pennsylvania,Platinum,228,25.575,253.575,Does not advance
08-0125,Washington,Platinum,230,23.1,253.1,Does not advance
08-0193,Ohio,Platinum,225,28.05,253.05,Does not advance
08-2646,Pennsylvania,Platinum,225,28.05,253.05,Does not advance
08-2460,Hawaii,Platinum,228,24.75,252.75,Does not advance
